Quarter,State,Total_Crashes,Num_Injured,Num_Killed,Total_Vehicles_Involved,SPV,DAD,PWR,FTQ,Other_Factors,Quarter_Num,Year,Quarter_Date,Total_Casualties,Casualty_Rate,Fatality_Rate,Vehicles_per_Crash,Total_Factors,SPV_Prop,DAD_Prop,PWR_Prop,FTQ_Prop,Other_Factors_Prop,Quarter_Sin,Quarter_Cos,Severe_Crash,High_Casualty,State_Encoded,State_Adamawa,State_Akwa Ibom,State_Anambra,State_Bauchi,State_Bayelsa,State_Benue,State_Borno,State_Cross River,State_Delta,State_Ebonyi,State_Edo,State_Ekiti,State_Enugu,State_FCT,State_Gombe,State_Imo,State_Jigawa,State_Kaduna,State_Kano,State_Katsina,State_Kebbi,State_Kogi,State_Kwara,State_Lagos,State_Nasarawa,State_Niger,State_Ogun,State_Ondo,State_Osun,State_Oyo,State_Plateau,State_Rivers,State_Sokoto,State_Taraba,State_Yobe,State_Zamfara,Region,Region_Encoded,Region_North East,Region_North West,Region_South East,Region_South South,Region_South West
Q2 2022,Ogun,143,107,1,31,1,0,0,0,19,2,2022,2023-09-01,224,2.388888888888889,0.06878306878306878,1.1176470588235294,24,0.6306306306306306,0.0,0.0,0.4574468085106383,0.4536082474226804,-1.0,1.0,1,0,17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,South South,5,False,False,False,False,False
Q1 2023,Bayelsa,241,442,12,78,10,0,0,0,6,4,2023,2023-09-01,382,2.072289156626506,0.17391304347826086,1.0363636363636364,18,0.675392670157068,0.0,0.0,0.2727272727272727,0.22727272727272727,-2.4492935982947064e-16,-1.8369701987210297e-16,1,0,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,South South,3,False,False,False,False,False
Q3 2023,Sokoto,73,65,96,100,70,0,1,0,50,4,2021,2024-03-01,280,2.0344827586206895,0.0975609756097561,1.0434782608695652,81,0.0011876484560570072,0.0,0.0,0.0,0.38636363636363635,-1.0,1.0,1,1,29,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,North West,2,True,False,False,False,False
Q3 2021,Kano,75,262,9,177,19,0,0,19,67,4,2021,2023-06-01,704,2.1363636363636362,0.24242424242424243,1.1041666666666667,50,0.29411764705882354,0.0,0.0,0.0,0.42857142857142855,1.2246467991473532e-16,1.0,1,0,21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,South West,2,False,True,False,False,False
Q4 2022,Plateau,151,201,21,328,105,0,0,62,26,2,2021,2023-12-01,271,1.5573770491803278,0.17333333333333334,1.1612903225806452,111,0.6063829787234043,0.0,0.0,0.0,0.4079601990049751,-1.0,6.123233995736766e-17,0,1,23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,South West,4,False,False,True,False,False
Q2 2021,Plateau,78,584,31,114,1,0,0,0,16,1,2022,2021-06-01,171,2.672566371681416,0.14796547472256474,1.1666666666666667,104,0.0,0.0,0.0,0.9777777777777777,0.8424657534246576,1.0,-1.8369701987210297e-16,1,0,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,South West,0,True,False,False,True,True
Q4 2023,Jigawa,58,395,25,126,2,0,0,0,11,4,2022,2022-09-01,689,2.485294117647059,0.2549019607843137,1.459016393442623,84,0.0,0.0,0.0,0.7558139534883721,0.7019230769230769,-2.4492935982947064e-16,6.123233995736766e-17,1,1,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,South West,0,False,False,False,False,False
Q3 2021,Taraba,148,133,36,35,81,0,0,240,150,1,2023,2023-12-01,95,2.717391304347826,0.038461538461538464,1.5517241379310345,4,0.0,0.0,0.0,0.0,0.3383838383838384,-2.4492935982947064e-16,1.0,1,1,11,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,South South,4,False,False,False,True,True
Q2 2023,Sokoto,39,159,27,60,78,0,0,0,8,1,2023,2022-03-01,19,3.1907216494845363,0.1245674740484429,1.032258064516129,53,0.0,0.0,0.0,1.0,0.0,-2.4492935982947064e-16,1.0,1,0,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,South East,2,False,False,False,False,False
Q1 2022,Anambra,108,624,20,75,90,0,0,0,2,4,2023,2023-09-01,152,1.4,0.2019704433497537,1.04,104,0.6709677419354839,0.0,0.0,0.75,0.42857142857142855,1.2246467991473532e-16,1.0,1,0,10,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,South South,1,False,False,True,False,False
Q4 2022,Abia,256,72,40,24,20,0,0,126,3,3,2022,2022-12-01,298,30.37037037037037,0.15843270868824533,1.5238095238095237,37,0.66,0.0,0.0,0.018633540372670808,0.45977011494252873,1.0,6.123233995736766e-17,1,0,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,South South,2,True,False,False,True,True
